Corrected.Collector.Collection.Number,Collector.Collection.Number,Collector,Collection.Number,Occupancy.Adults,Occupancy.Seedling,Observation,Phenotypic.group,Cuatrecasas.Taxa,Pineda.Group,Species.Taxa.Assignment.For.Occupancy.Analysis,Comment.Species.Taxa.Assignment.For.Occupancy.Analysis,Longitude,Latitude,Altitude,Length.Lamina.1,Length.Lamina.2,Length.Lamina.3,Width.Lamina.1,Width.Lamina.2,Width.Lamina.3,Length.Synflorescence.Axis.1,Length.Synflorescence.Axis.2,Length.Synflorescence.Axis.3,Perimeter.Synflorescence.Axis.1,Perimeter.Synflorescence.Axis.2,Perimeter.Synflorescence.Axis.3,Number.Pairs.Sterile.Leaves.Per.Synflorescence.1,Number.Pairs.Sterile.Leaves.Per.Synflorescence.2,Number.Pairs.Sterile.Leaves.Per.Synflorescence.3,Number.Capitula.Per.Synflorescence.1,Number.Capitula.Per.Synflorescence.2,Number.Capitula.Per.Synflorescence.3,Length.Cyme.Peduncle.Center.1,Length.Cyme.Peduncle.Center.2,Length.Cyme.Peduncle.Axial.1,Length.Cyme.Peduncle.Axial.2,Length.Cyme.Peduncle.Axial.3,Length.Cyme.Peduncle.Axial.4,Infructescence.Diameter.Capitulum.1,Infructescence.Diameter.Capitulum.2,Infructescence.Diameter.Capitulum.3,Infructescence.Diameter.Capitulum.4,Inflorescence.Diameter.Capitulum.1,Inflorescence.Diameter.Capitulum.2,Inflorescence.Diameter.Capitulum.3,Inflorescence.Diameter.Capitulum.4,Length.Sterile.Phyllary.1,Length.Sterile.Phyllary.2,Length.Sterile.Phyllary.3,Width.Sterile.Phyllary.1,Width.Sterile.Phyllary.2,Width.Sterile.Phyllary.3,Length.Ray.Flower.Corolla.1,Length.Ray.Flower.Corolla.2,Length.Ray.Flower.Corolla.3,Length.Disc.Flower.Corolla.1,Length.Disc.Flower.Corolla.2,Length.Disc.Flower.Corolla.3,Length.Disc.Flower.Tube.1,Length.Disc.Flower.Tube.2,Length.Disc.Flower.Tube.3,Is.Seedling,DNA.Sample,Type.Taxa,Cited.Cuatrecasas.Monograph.Taxa
YAM_541,Y_541,Pineda Yam,541,Yes,No,,Not present,NotFound,Hy_E.summapacisxE.killipii,E. summapacis,ver especimen si disponible,-74.33637,3.81388,4053,28.172,26.566,29.886,3.788,4.251,3.719,47,47,50,2.3,2.9,2,0,0,NA,4,4,4,12.5,15.5,11.5,10.5,14.6,14.7,3.5,3.8,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_542,Y_542,Pineda Yam,542,Yes,No,,Not present,E. grandiflora,grandiflora.2B,E. grandiflora,ver especimen si disponible,-74.33777,3.81084,4009,29.723,31.296,31.288,4.908,5.191,6.044,77,83,81,3.3,3.2,3.4,2,2,NA,23,27,25,3.35,2.67,3.07,2.83,2.42,2.77,2.53,2.55,2.45,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_543,Y_543,Pineda Yam,543,No,Yes,,Not present,E. grandiflora,grandiflora.2B,E. grandiflora,NA,-74.33777,3.81084,4009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_544,Y_544,Pineda Yam,544,No,No,,2,NA,E. grandiflora,E. grandiflora,,-74.33802,3.81046,4014,26.888,26.325,25.993,4.534,4.6,4.534,53,58,NA,2.1,2.5,NA,3,3,NA,14,14,NA,2.41,1.67,1.79,1.65,1.14,1.09,NA,NA,NA,NA,1.75,2.11,2.26,2.4,11.97,12.27,10.87,8.67,6.69,6.34,15.05,15.7,16.69,6.15,6.13,6.3,1.3,1.34,1.97,NO,NA,NA,NA
YAM_545,Y_545,Pineda Yam,545,No,No,,2,E. grandiflora,E. grandiflora,E. grandiflora,,-74.33807,3.8107,4012,22.415,25.883,21.814,4.325,4.304,5.167,48,49,51,2.5,2.1,2.8,3,4,NA,7,8,13,1.27,2.37,0.9,0.5,1.36,1.11,NA,NA,NA,NA,1.35,1.03,1.28,1.08,13.28,11.76,13.61,11.32,6.26,10.97,12.95,10.89,10.99,7.45,7.23,7.32,5.9,5.37,6.4,NO,YES,NA,NA
YAM_546,Y_546,Pineda Yam,546,No,No,,9,NotFound,Tres.Escapos,complejo_sin_bracteas,,-74.33762,3.81122,4009,32.872,33.006,34.269,3.109,3.405,3.185,53,45,48,4,4,3.1,0,0,NA,8,9,10,8.5,11.46,8.7,9,12.53,11.08,NA,NA,NA,NA,2.28,2.18,2.06,2.22,18.56,16.98,16.06,9.9,6.15,8.07,11.72,10.52,11.96,7.69,8.66,7.77,5.91,5.21,5.24,NO,NA,NA,NA
YAM_547,Y_547,Pineda Yam,547,No,No,,Not present,E. grandiflora,grandiflora.3b,grandiflora.3b,,NA,NA,NA,31.571,31.51,31.132,4.648,5.301,4.541,73,72.5,73.5,4.5,3.8,4.5,2,3,NA,21,19,21,2.71,2.43,2.69,2.31,2.27,1.42,2.45,2.42,2.35,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_548,Y_548,Pineda Yam,548,No,No,,Not present,sp,sp,sp,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_549,Y_549,Pineda Yam,549,No,No,,2,NA,E. grandiflora,E. grandiflora,,-74.3309,3.81376,3921,37.717,34.549,33.217,6.029,5.335,5.642,69,70,54,3,2.8,3.2,2,2,NA,17,18,12,3.54,3.41,2.28,2.1,1.89,1.51,NA,NA,NA,NA,2.3,2.21,2.31,2.39,14.46,13.12,13.11,6.34,6.35,4.46,11.97,11.98,10.3,7.19,6.75,6.43,3.44,2.55,2.46,NO,NA,NA,NA
YAM_550,Y_550,Pineda Yam,550,Yes,No,,3,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.33501,3.80389,3894,31.928,34.967,34.994,3.693,4.077,5.154,63,62,62,2.7,2,1.7,1,1,NA,14,17,17,2.26,2.76,2.55,2.49,2.03,2.59,NA,NA,NA,NA,1.59,1.69,1.92,NA,12.29,12.9,12.04,4.99,4.32,3.37,12.08,10.14,13.13,6.24,6.51,6.28,2.32,2.13,2.1,NO,NA,NA,NA
YAM_551,Y_551,Pineda Yam,551,Yes,No,,Not present,E. grandiflora var. attenuata Cuatrec.,E. grandiflora var. attenuata,E. grandiflora,ver especimen si disponible,-74.18725,4.29332,3840,18.21,17.639,20.396,2.629,2.578,2.579,50,51,55,1.9,2.1,2,1,1,NA,11,7,8,3.41,2.86,2.29,2.96,3.69,4.45,1.77,1.77,2.15,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_552,Y_552,Pineda Yam,552,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.18725,4.29332,3840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_553,Y_553,Pineda Yam,553,Yes,No,,Not present,NotFound,H.peque.SB,complejo_sin_bracteas,ver especimen si disponible,-74.18725,4.29332,3840,20.91,19.831,20.829,2.215,2.404,2.545,56,46,49,1.5,1.7,1.6,0,0,NA,9,8,8,2.8,3.72,2.26,1.33,2.77,NA,1.96,2.32,2.56,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_554,Y_554,Pineda Yam,554,No,Yes,,Not present,E. grandiflora var. attenuata Cuatrec.,E. grandiflora var. attenuata,E. grandiflora,NA,-74.18725,4.29332,3840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_555,Y_555,Pineda Yam,555,Yes,No,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.17307,4.29693,3591,32.821,33.886,31.635,3.644,3.375,3.288,94,92,97,3.3,3.1,3.4,1,1,NA,24,23,21,3.25,2.91,NA,NA,2.67,2.41,2,1.8,2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_556,Y_556,Pineda Yam,556,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_557,Y_557,Pineda Yam,557,Yes,No,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.16946,4.29631,3668,40.205,39.133,40.201,4.397,4.083,4.586,102,96,99,1.8,2,2.8,1,1,NA,17,25,20,1.71,5.19,0.9,1.25,3.55,3.97,1.75,1.74,1.34,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_558,Y_558,Pineda Yam,558,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.16946,4.29631,3668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_559,Y_559,Pineda Yam,559,Yes,No,,Not present,sp,sin_bracteas,complejo_sin_bracteas,NA,-74.16946,4.29631,3668,33.077,30.845,34.2,3.484,3.487,3.544,74,67,70,2.7,2.8,2.9,0,0,NA,20,12,15,2.97,8.05,3.22,3,3.04,2.33,2.13,1.58,1.45,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_560,Y_560,Pineda Yam,560,Yes,No,,Not present,E. grandiflora var. attenuata Cuatrec.,E. grandiflora var. attenuata,E. grandiflora,ver especimen si disponible,-74.21668,4.28945,3926,22.483,23.298,23.064,3.198,2.916,2.918,39,42,39,2.8,2.5,1.9,1,1,NA,7,8,8,3.53,3.67,3.67,3.61,3.85,6.58,NA,NA,NA,NA,2.82,2.57,2.33,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_561,Y_561,Pineda Yam,561,Yes,No,,4,E. grandiflora var. attenuata Cuatrec.,E. grandiflora var. attenuata,E. grandiflora,ver especimen si disponible,-74.1694,4.29393,3698,23.507,21.301,22.272,2.851,3.048,2.859,32,39,54,2.1,1.5,2.4,1,1,NA,7,NA,NA,2.06,NA,1.92,1.57,NA,NA,1.51,1.46,1.35,1.21,NA,NA,NA,NA,9.15,8.147,7.79,2.96,4.93,3.63,9.11,8.73,8.44,5.18,5.56,6.96,2.18,2.17,2.65,NO,NA,NA,NA
YAM_562,Y_562,Pineda Yam,562,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.1694,4.29393,3698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,7,5,NA,2.5,3.5,2.8,NA,3,NA,1.47,1.56,1.42,NA,1.93,1.37,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_563,Y_563,Pineda Yam,563,Yes,No,,Not present,NotFound,cf E. killipi,E. killipii,ver especimen si disponible,-74.1694,4.29393,3698,22.937,22.265,21.52,3.182,3.402,3.149,58,61,64,2.6,1.8,2.1,0,0,NA,9,9,5,2.33,NA,1.33,1.93,NA,NA,2.42,2.26,2.11,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_564,Y_564,Pineda Yam,564,Yes,No,,Not present,NotFound,E. killipii,E. killipii,NA,-74.21668,4.28945,3926,17.279,16.543,16.166,2.858,2.845,2.95,35,36,34,2.6,1.9,1.6,0,0,NA,5,4,7,2.84,2.95,1.95,1.95,2.74,NA,2.4,2,1.67,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_565,Y_565,Pineda Yam,565,Yes,No,,Not present,E. killipii,E. killipii,E. killipii,NA,-74.21668,4.28945,3926,30.999,31.695,31.695,3.52,3.515,3.642,45,45,49,3,2.5,2.8,0,0,NA,5,5,5,2.01,5,2.16,2.57,3.37,3.73,2.95,3.11,2.62,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_566,Y_566,Pineda Yam,566,Yes,No,,Not present,E. grandiflora var. attenuata Cuatrec.,E. grandiflora var. attenuata,E. grandiflora,ver especimen si disponible,-74.22277,4.28974,3667,18.738,19.09,19.643,2.1,2.335,2.48,39,37,31,1.5,1.6,1.8,1,1,NA,11,10,11,2.51,7,2.35,1.4,3,7.5,2.31,2.59,1.75,2.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_567,Y_567,Pineda Yam,567,Yes,No,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.22277,4.28974,3667,33.432,34.122,33.179,4.098,4.107,4.663,81,81,81,1.6,2.3,2.1,1,1,NA,6,7,8,4.65,5.2,4.43,4.36,1.58,2.75,2.3,1.6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_568,Y_568,Pineda Yam,568,Yes,No,,Not present,sp,sin_bracteas,complejo_sin_bracteas,NA,-74.22277,4.28974,3667,25.376,26.612,25.215,3.062,3.112,2.683,67,66,49,2.5,2.4,2.9,0,0,NA,10,14,12,2.6,1.91,2.54,2.81,1.9,1.35,1.94,2.24,2.19,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_569,Y_569,Pineda Yam,569,Yes,No,,Not present,E. grandiflora var. attenuata Cuatrec.,E. grandiflora var. attenuata,E. grandiflora,ver especimen si disponible,-74.22665,4.29335,3656,27.62,27.28,28.074,3.719,3.593,3.893,62,79,69,2.5,1.8,2,1,1,NA,8,11,NA,1.66,NA,1.54,1.3,NA,NA,2.01,1.93,1.45,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_570,Y_570,Pineda Yam,570,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.22665,4.29335,3656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_571,Y_571,Pineda Yam,571,Yes,No,,Not present,sp,sin_bracteas,complejo_sin_bracteas,NA,-74.18555,4.26698,3743,27.044,26.833,27.266,3.447,3.886,3.133,76,68,68,2.5,2.8,2.2,0,0,NA,16,17,16,2.69,4.48,2.33,2.43,3.49,2.02,2.36,2.07,1.98,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_572,Y_572,Pineda Yam,572,No,Yes,,Not present,sp,sp,E. sp.,NA,-74.18555,4.26698,3743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_573,Y_573,Pineda Yam,573,Yes,No,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.18555,4.26698,3743,NA,NA,NA,NA,NA,NA,53,74,73,1.7,1.3,1.8,1,1,NA,16,12,8,1.56,2.33,1.6,1.3,4.01,4.32,1.32,1.28,1.25,2.09,1.55,1.87,2.11,1.95,11.13,10.89,11.57,4.14,3.42,2.66,11.84,11.14,12.11,5.26,5.18,5.57,1.92,1.56,1.88,NO,NA,NA,NA
YAM_574,Y_574,Pineda Yam,574,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.18555,4.26698,3743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_575,Y_575,Pineda Yam,575,Yes,No,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.1814,4.26721,3674,30.214,34.975,33.457,3.301,3.747,4.126,94,76,72,2.6,2.4,1.9,1,1,NA,16,18,14,3.07,3.93,2.4,2.18,5.92,1.71,1.8,1.85,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_576,Y_576,Pineda Yam,576,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.1814,4.26721,3674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_577,Y_577,Pineda Yam,577,Yes,No,,Not present,E. killipii,E. killipii,E. killipii,NA,-74.1814,4.26721,3674,41.351,39.674,NA,4.646,4.416,NA,86,86,85,3.7,3.5,3.8,0,0,NA,9,8,9,14.5,10.5,12,9,12.9,9.6,2.51,3.11,2.77,2.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_578,Y_578,Pineda Yam,578,No,Yes,,Not present,E. killipii,E. killipii,E. killipii,NA,-74.1814,4.26721,3674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_579,Y_579,Pineda Yam,579,Yes,No,,Not present,NotFound,Hy_E. grandiflora x E. killipii,E. killipii,ver especimen si disponible,-74.1814,4.26721,3674,35.713,35.786,37.577,3.821,4.157,3.946,70,70,69,3.1,2.5,2.7,0,0,NA,7,5,7,5.58,8.5,5.29,6.76,5.5,NA,2.39,2.47,2.67,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,YES,NA,NA
YAM_580,Y_580,Pineda Yam,580,No,Yes,,Not present,NotFound,Hy_E. grandiflora x E. killipii,E. killipii,NA,-74.1814,4.26721,3674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_581,Y_581,Pineda Yam,581,Yes,No,,Not present,sp,H.delgada,complejo_sin_bracteas,ver especimen si disponible,-74.1814,4.26721,3674,34.516,34.318,33.836,3.742,4.375,4.057,66,69,61,2.1,2.5,1.8,0,0,NA,14,14,12,5.11,3.19,4.62,4.58,3.13,2.66,2.07,1.8,1.67,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_582,Y_582,Pineda Yam,582,No,Yes,,Not present,sp,E. grandiflora,E. grandiflora,NA,-74.1814,4.26721,3674,44.056,44.201,45.177,4.3,4.867,4.555,94,108,103.5,2.6,3.6,2.4,1,1,NA,16,23,28,2.89,3.54,2.1,2.86,2.59,3.43,2,1.5,2.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_583,Y_583,Pineda Yam,583,Yes,No,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.17501,4.26193,3655,NA,NA,NA,NA,NA,NA,94,105,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_584,Y_584,Pineda Yam,584,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.17501,4.26193,3655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_585,Y_585,Pineda Yam,585,Yes,No,,Not present,E. killipii,E. killipii,E. killipii,NA,-74.18111,4.25777,3671,41.19,43.261,42.748,5.105,4.402,4.797,63,68,69,3.8,3.3,3.7,0,0,NA,7,9,7,3.58,9.98,3.2,3.27,4.33,6.4,3.46,3.55,3.74,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,YES,NA,NA
YAM_586,Y_586,Pineda Yam,586,No,Yes,,Not present,E. killipii,E. killipii,E. killipii,NA,-74.18111,4.25777,3671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_587,Y_587,Pineda Yam,587,Yes,No,,Not present,E. grandiflora var. attenuata Cuatrec.,E. grandiflora var. attenuata,E. grandiflora,ver especimen si disponible,-74.18668,4.2889,3753,15.183,18.059,16.141,2.281,2.03,2.122,39,48,52,1.7,1.6,1.4,1,1,NA,5,7,7,4.42,5.35,4,3.91,5.64,4,2.32,2.24,2.1,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_588,Y_588,Pineda Yam,588,No,Yes,,Not present,NotFound,sin_bracteas,complejo_sin_bracteas,NA,-74.18668,4.2889,3753,27.791,28.587,28.708,3.23,2.918,3.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_589,Y_589,Pineda Yam,589,Yes,No,,Not present,E. grandiflora,g. hoja.peque,E. grandiflora,ver especimen si disponible,-74.18668,4.2889,3753,NA,NA,NA,NA,NA,NA,32,47,58,1.7,0.7,1.7,1,1,NA,6,4,7,2.5,4.6,2.5,2.52,6.2,3.15,1.24,1.77,1.84,1.65,1.28,1.26,1.18,1.43,9.2,9.54,9.03,3.72,2.75,3.17,10.59,12.14,12.21,6.05,6.08,5.94,2.42,2.27,2.04,NO,NA,NA,NA
YAM_590,Y_590,Pineda Yam,590,No,Yes,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.18668,4.2889,3753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_591,Y_591,Pineda Yam,591,Yes,No,,Not present,NA,E. grandiflora,E. grandiflora,NA,-74.18221,4.29084,3684,29.755,28.975,29.014,4.641,4.564,4.564,68.2,74,NA,2.9,2,2,1,1,NA,12,11,13,3.3,2.25,2.2,2.09,1.51,4.32,1.45,1.9,1.47,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_592,Y_592,Pineda Yam,592,No,Yes,,Not present,sp,sp,E. sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_593,Y_593,Pineda Yam,593,Yes,No,,Not present,NotFound,cf E. killipi,E. killipii,ver especimen si disponible,-74.18221,4.29084,3684,28.813,30.512,31.173,4.117,4.363,4.4,73,71,67,2.9,1.6,2.6,0,0,NA,9,6,11,2.03,2.28,1.67,NA,2.51,2.37,2.39,3.12,1.8,3.09,2.19,1.96,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_594,Y_594,Pineda Yam,594,No,Yes,,Not present,sp,sp,E. sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_595,Y_595,Pineda Yam,595,Yes,No,,Not present,NA,E. grandiflora,E. grandiflora,NA,-74.18053,4.29145,3685,27.6,27.166,28.069,4.339,4.426,4.253,72,70.5,NA,2.6,2.5,NA,0,0,NA,8,9,NA,2.17,3.11,1.75,2.22,3.71,3.74,2.49,2.62,2.43,2.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
