Fecha,Cuadrante,Celda,Latitud,Longitud,Altitud,Nombre.provisional.morfo,de0a5.plantula,de5a10.de0a25,de10a15.de25a50,de15a20.de50a75,de20a25.de75a100,de25a30.de100a125,de30a35.de125a150,de35a40.de150a175,de40a45.de175a200,de45a50.de200a225,de50a55.de225a250,masde55.masde250,Floracion,Fructificacion,Colector.1,Numerodecoleccion_Plantula1,Colector.2,Numerodecoleccion_Plantula2,Colector.3,Numerodecoleccion_Plantula3,Colector.4,Numerodecoleccion_Adulto1,Colector.5,Numerodecoleccion_Adulto2,Colector.6,Numerodecoleccion_Adulto3,Repeticion
17-01-18,251,7846675,4.22255,-74.16886,3438,argentea,1,1,1,1,1,1,1,0,0,0,0,0,1,1,YAM,173,NA,NA,NA,NA,YAM,170,YAM,171,NA,NA,0
16-01-18,235,7569507,4.24129,-74.18771,3515,grandiflora,1,1,1,1,1,1,1,1,1,0,0,0,1,1,YAM,147,NA,NA,NA,NA,YAM,146,NA,NA,NA,NA,0
16-01-18,235,7569507,4.24129,-74.18771,3515,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16-01-18,235,7569507,4.24129,-74.18771,3515,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16-01-18,235,7569507,4.24129,-74.18771,3515,argentea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16-01-18,235,7545057,4.24311,-74.18777,3518,grandiflora,1,1,1,1,1,1,1,1,0,1,0,0,0,1,YAM,145,NA,NA,NA,NA,YAM,144,NA,NA,NA,NA,0
16-01-18,235,7545057,4.24311,-74.18777,3518,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16-01-18,235,7545057,4.24311,-74.18777,3518,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16-01-18,235,7545057,4.24311,-74.18777,3518,argentea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16-01-18,235,7593921,4.23979,-74.19781,3591,grandiflora,1,1,1,1,1,1,1,1,0,0,0,0,0,1,YAM,137,NA,NA,NA,NA,YAM,136,NA,NA,NA,NA,0
16-01-18,235,7593921,4.23979,-74.19781,3591,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16-01-18,235,7593921,4.23979,-74.19781,3591,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16-01-18,235,7593921,4.23979,-74.19781,3591,argentea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16-01-18,235,7487938,4.24694,-74.20696,3704,grandiflora,1,1,1,1,1,1,0,1,0,0,0,0,0,1,YAM,141,NA,NA,NA,NA,YAM,140,NA,NA,NA,NA,0
16-01-18,235,7487938,4.24694,-74.20696,3704,killipii,1,1,1,1,1,1,1,1,1,1,1,0,0,1,YAM,139,YAM,143,NA,NA,YAM,138,YAM,142,NA,NA,0
16-01-18,235,7487938,4.24694,-74.20696,3704,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
